NAEPID,AccNum,Category,Category Label,Percent,PCT SE ,Average score,Score SE
CVS1601, VR375478, 1, NA      ,  37, 2.93, 238, 2.22
CVS1601, VR375478, 4, Half    ,   1, 0.62, 217, 16.67
CVS1601, VR375478, 3, Some    ,   8, 1.82, 230, 4.31
CVS1601, VR375478, 6, All/most,   7, 1.58, 226, 6.27
CVS1601, VR375478, 5, >Half   ,   0,null,null,null
CVS1602, VR375477, 1, NA      ,  10, 1.91, 242, 3.46
CVS1601, VR375478, 7, MISSING ,  27, 2.38, 231, 1.98
CVS1602, VR375477, 3, Some    ,  26, 2.97, 237, 3.08
CVS1602, VR375477, 2, None    ,   8, 1.86, 239, 5.53
CVS1602, VR375477, 5, >Half   ,   5, 1.58, 246, 7.72
CVS1602, VR375477, 4, Half    ,   5, 1.39, 238, 5.89
CVS1602, VR375477, 7, MISSING ,  26, 2.39, 231, 1.98
CVS1602, VR375477, 6, All/most,  46, 2.99, 230, 1.97
CVS1603, VR375479, 2, None    ,  22, 2.61, 233, 2.78
CVS1603, VR375479, 1, NA      ,  16, 2.60, 242, 3.35
CVS1603, VR375479, 4, Half    ,   5, 1.34, 239, 4.37
CVS1603, VR375479, 3, Some    ,  37, 3.48, 235, 2.83
CVS1603, VR375479, 6, All/most,  15, 2.31, 230, 4.54
CVS1603, VR375479, 5, >Half   ,   4, 1.09, 237, 7.21
CVS1604, VR375476, 1, NA      ,   8, 1.74, 247, 3.56
CVS1603, VR375479, 7, MISSING ,  26, 2.38, 231, 2.01
CVS1604, VR375476, 3, Some    ,  27, 2.81, 237, 2.92
CVS1604, VR375476, 2, None    ,   5, 1.51, 232, 6.11
CVS1604, VR375476, 5, >Half   ,   7, 1.50, 233, 3.82
CVS1604, VR375476, 4, Half    ,   6, 1.52, 240, 4.08
CVS1604, VR375476, 7, MISSING ,  26, 2.39, 231, 1.99
CVS1604, VR375476, 6, All/most,  48, 2.97, 232, 2.19
CVS1701, VR375487, 2, Never   ,   0,null,null,null
CVS1701, VR375487, 1, NA      ,   6, 1.57, 239, 5.78
CVS1701, VR375487, 4, 1-2/week,   9, 1.72, 238, 2.92
CVS1701, VR375487, 3, 1-2/mnth,   1, 0.49,null,null
CVS1701, VR375487, 6, MISSING ,  25, 2.38, 231, 1.99
CVS1701, VR375487, 5, EveryDay,  84, 2.44, 234, 1.48
CVS1702, VR375490, 2, Never   ,   1, 0.59,null,null
CVS1702, VR375490, 1, NA      ,   9, 1.99, 242, 5.56
CVS1702, VR375490, 4, 1-2/week,  20, 2.42, 238, 2.62
CVS1702, VR375490, 3, 1-2/mnth,   2, 0.73, 236, 12.46
CVS1702, VR375490, 6, MISSING ,  25, 2.38, 231, 1.99
CVS1702, VR375490, 5, EveryDay,  69, 2.86, 233, 1.64
CVS1703, VR375488, 2, Never   ,  15, 2.36, 240, 4.15
CVS1703, VR375488, 1, NA      ,  20, 2.61, 244, 3.51
CVS1703, VR375488, 4, 1-2/week,  27, 2.71, 236, 2.31
CVS1703, VR375488, 3, 1-2/mnth,   9, 1.96, 231, 6.01
CVS1703, VR375488, 6, MISSING ,  26, 2.35, 231, 1.98
CVS1703, VR375488, 5, EveryDay,  29, 2.63, 226, 2.66
CVS1704, VR375489, 2, Never   ,   1, 0.65, 243, 9.35
CVS1704, VR375489, 1, NA      ,   4, 1.24, 230, 4.98
CVS1704, VR375489, 4, 1-2/week,  37, 3.52, 235, 2.43
CVS1704, VR375489, 3, 1-2/mnth,  29, 3.28, 236, 2.74
CVS1704, VR375489, 6, MISSING ,  25, 2.38, 231, 1.99
CVS1704, VR375489, 5, EveryDay,  28, 2.87, 234, 2.51
CVS1801, VR375516, 2, No      ,  94, 1.69, 235, 1.38
CVS1801, VR375516, 1, Yes     ,   6, 1.69, 231, 5.01
CVS1802, VR375517, 1, Yes     ,  15, 1.92, 234, 3.51
CVS1801, VR375516, 3, MISSING ,  25, 2.38, 231, 1.99
CVS1802, VR375517, 3, MISSING ,  25, 2.38, 231, 1.99
CVS1802, VR375517, 2, No      ,  85, 1.92, 235, 1.50
CVS1803, VR375518, 2, No      ,  97, 1.03, 235, 1.43
CVS1803, VR375518, 1, Yes     ,   3, 1.03, 232, 6.69
CVS1804, VR375519, 1, Yes     ,  28, 3.49, 233, 3.14
CVS1803, VR375518, 3, MISSING ,  25, 2.38, 231, 1.99
CVS1804, VR375519, 3, MISSING ,  26, 2.39, 231, 1.98
CVS1804, VR375519, 2, No      ,  72, 3.49, 236, 1.39
CVS1805, VR375520, 2, No      ,  55, 3.41, 238, 2.04
CVS1805, VR375520, 1, Yes     ,  45, 3.41, 231, 2.22
CVS1806, VR375521, 1, Yes     ,  21, 2.51, 233, 2.98
CVS1805, VR375520, 3, MISSING ,  25, 2.38, 231, 1.99
CVS1806, VR375521, 3, MISSING ,  25, 2.38, 231, 1.99
CVS1806, VR375521, 2, No      ,  79, 2.51, 235, 1.58
