CVS1701, VR375487, 6, MISSING ,  25, 2.40, 212, 1.71
CVS1702, VR375490, 1, NA      ,   9, 1.92, 222, 4.57
CVS1702, VR375490, 2, Never   ,   1, 0.50,null,null
CVS1702, VR375490, 3, 1-2/mnth,   2, 0.74, 217, 16.09
CVS1702, VR375490, 4, 1-2/week,  20, 2.45, 220, 2.78
CVS1702, VR375490, 5, EveryDay,  69, 2.87, 214, 1.38
CVS1702, VR375490, 6, MISSING ,  25, 2.40, 212, 1.71
CVS1703, VR375488, 1, NA      ,  20, 2.55, 223, 2.94
CVS1703, VR375488, 2, Never   ,  15, 2.33, 218, 4.06
CVS1703, VR375488, 3, 1-2/mnth,   9, 2.08, 215, 4.44
CVS1703, VR375488, 4, 1-2/week,  27, 2.73, 217, 1.96
CVS1703, VR375488, 5, EveryDay,  29, 2.64, 208, 2.31
CVS1703, VR375488, 6, MISSING ,  26, 2.38, 212, 1.76
CVS1704, VR375489, 1, NA      ,   4, 1.23, 211, 7.20
CVS1704, VR375489, 2, Never   ,   2, 0.70, 221, 7.77
CVS1704, VR375489, 3, 1-2/mnth,  29, 3.22, 219, 2.63
CVS1704, VR375489, 4, 1-2/week,  37, 3.56, 215, 2.17
CVS1704, VR375489, 5, EveryDay,  28, 2.92, 213, 2.16
CVS1704, VR375489, 6, MISSING ,  25, 2.40, 212, 1.71
CVS1801, VR375516, 1, Yes     ,   6, 1.68, 212, 4.53
CVS1801, VR375516, 2, No      ,  94, 1.68, 216, 1.27
CVS1801, VR375516, 3, MISSING ,  25, 2.40, 212, 1.71
CVS1802, VR375517, 1, Yes     ,  14, 1.96, 216, 3.45
CVS1802, VR375517, 2, No      ,  86, 1.96, 215, 1.29
CVS1802, VR375517, 3, MISSING ,  25, 2.40, 212, 1.71
CVS1803, VR375518, 1, Yes     ,   3, 0.97, 216, 7.81
CVS1803, VR375518, 2, No      ,  97, 0.97, 215, 1.24
CVS1803, VR375518, 3, MISSING ,  25, 2.40, 212, 1.71
CVS1804, VR375519, 1, Yes     ,  28, 3.50, 213, 2.93
CVS1804, VR375519, 2, No      ,  72, 3.50, 217, 1.31
CVS1804, VR375519, 3, MISSING ,  26, 2.41, 212, 1.69
CVS1805, VR375520, 1, Yes     ,  45, 3.45, 212, 2.09
CVS1805, VR375520, 2, No      ,  55, 3.45, 218, 1.72
CVS1805, VR375520, 3, MISSING ,  25, 2.40, 212, 1.71
CVS1806, VR375521, 1, Yes     ,  21, 2.46, 212, 2.37
CVS1806, VR375521, 2, No      ,  79, 2.46, 216, 1.42
CVS1806, VR375521, 3, MISSING ,  25, 2.40, 212, 1.71
